Position,Annual Salary,Label
Assoc Professor - Educator,102736.44,Assoc Professor
Asst Professor,102736.44,Asst Professor
Assoc Professor,102736.44,Assoc Professor
Assoc Professor,102736.44,Assoc Professor
Professor,102661.68,Professor
Interim Assoc Dean,102641.58,Dean
Assoc Professor,102548.4,Assoc Professor
Professor,102535.32,Professor
Assoc Professor,102429.12,Assoc Professor
Asst Professor,102415.56,Asst Professor
Professor,102254.04,Professor
Professor,102173.76,Professor
Assoc Professor,102161.4,Assoc Professor
Assoc Professor,102118.92,Assoc Professor
Professor,102010.44,Professor
Asst Professor,102000.0,Asst Professor
Asst Professor,102000.0,Asst Professor
Assoc Professor - Clin Geo,102000.0,Assoc Professor
Sr Asst Dean,102000.0,Dean
Asst Professor,101990.64,Asst Professor
Professor,101970.84,Professor
Assoc Professor,101896.8,Assoc Professor
Asst Professor - Educator,101893.8,Asst Professor
Professor,101856.72,Professor
Assoc Professor,101663.4,Assoc Professor
Assoc Professor - Clin,101530.44,Assoc Professor
Professor,101478.96,Professor
Professor,101374.56,Professor
Professor,101308.92,Professor
Asst Professor,101303.14,Asst Professor
Professor,101300.76,Professor
Asst Professor,101220.6,Asst Professor
Professor,101194.92,Professor
Professor,101172.12,Professor
Dir Academic,101133.72,Director Academic
Professor,101132.52,Professor
Asst Professor,101063.88,Asst Professor
Professor,100929.96,Professor
Professor,100868.52,Professor
Professor,100824.0,Professor
Dir Academic,100814.76,Director Academic
Assoc Professor,100814.76,Assoc Professor
Professor,100804.44,Professor
Assoc Professor,100785.12,Assoc Professor
Assoc Professor,100717.8,Assoc Professor
Professor - Geo,100643.58,Professor
Professor,100603.92,Professor
Asst Dean,100470.0,Dean
Asst Professor,100256.52,Asst Professor
Assoc Professor,100173.24,Assoc Professor
Assoc Professor,100108.68,Assoc Professor
Assoc Professor,100010.76,Assoc Professor
Dir Academic Med,100000.0,Director Academic
Head Coach,100000.0,Coach
Dir Academic Med,100000.0,Director Academic
Professor - Clin Geo,100000.0,Professor
Asst Professor - Clin Geo,100000.0,Asst Professor
Professor - Clin Geo,100000.0,Professor
Asst Coach,100000.0,Coach
Asst Coach Major Sports,100000.0,Coach
Asst Professor - Clin Geo,100000.0,Asst Professor
Assoc Professor - Educator,100000.0,Assoc Professor
Professor - Clin Geo,100000.0,Professor
Head Coach,100000.0,Coach
Professor - Visiting,100000.0,Professor
Assoc Professor,99979.08,Assoc Professor
Asst Professor,99975.6,Asst Professor
Asst Professor,99971.4,Asst Professor
Professor,99849.36,Professor
Professor,99699.0,Professor
Professor,99667.8,Professor
Professor,99585.96,Professor
Professor,99567.84,Professor
Professor,99475.44,Professor
Professor,99363.0,Professor
Assoc Professor,99297.48,Assoc Professor
Assoc Professor,99248.16,Assoc Professor
Professor,99216.96,Professor
Asst Professor - Research,99177.0,Asst Professor
Assoc Professor,99145.68,Assoc Professor
Professor,99105.48,Professor
Assoc Professor,98989.8,Assoc Professor
Assoc Professor,98945.64,Assoc Professor
Professor,98902.56,Professor
Assoc Professor,98887.8,Assoc Professor
Asst Professor,98880.24,Asst Professor
